method,dataset,r,direction,break_even_c
tabpfn_distpfn,banknote_authentication,0.05,majority_to_minority,0.05
tabpfn_distpfn,banknote_authentication,0.05,minority_to_majority,>0.30
tabpfn_distpfn,banknote_authentication,0.1,majority_to_minority,0.05
tabpfn_distpfn,banknote_authentication,0.1,minority_to_majority,0.1
tabpfn_distpfn,banknote_authentication,0.2,majority_to_minority,0.05
tabpfn_distpfn,banknote_authentication,0.2,minority_to_majority,0.1
tabpfn_distpfn,banknote_authentication,0.5,majority_to_minority,0.05
tabpfn_distpfn,banknote_authentication,0.5,minority_to_majority,0.05
tabpfn_distpfn,blood_transfusion,0.05,majority_to_minority,0.05
tabpfn_distpfn,blood_transfusion,0.05,minority_to_majority,0.05
tabpfn_distpfn,blood_transfusion,0.1,majority_to_minority,0.1
tabpfn_distpfn,blood_transfusion,0.1,minority_to_majority,0.05
tabpfn_distpfn,blood_transfusion,0.2,majority_to_minority,0.1
tabpfn_distpfn,blood_transfusion,0.2,minority_to_majority,0.05
tabpfn_distpfn,blood_transfusion,0.5,majority_to_minority,0.2
tabpfn_distpfn,blood_transfusion,0.5,minority_to_majority,0.05
tabpfn_distpfn,breast_cancer_wisconsin,0.05,majority_to_minority,>0.30
tabpfn_distpfn,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
tabpfn_distpfn,breast_cancer_wisconsin,0.1,majority_to_minority,>0.30
tabpfn_distpfn,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
tabpfn_distpfn,breast_cancer_wisconsin,0.2,majority_to_minority,>0.30
tabpfn_distpfn,breast_cancer_wisconsin,0.2,minority_to_majority,0.3
tabpfn_distpfn,breast_cancer_wisconsin,0.5,majority_to_minority,0.05
tabpfn_distpfn,breast_cancer_wisconsin,0.5,minority_to_majority,0.05
tabpfn_distpfn,south_german_credit,0.05,majority_to_minority,0.1
tabpfn_distpfn,south_german_credit,0.05,minority_to_majority,0.05
tabpfn_distpfn,south_german_credit,0.1,majority_to_minority,0.05
tabpfn_distpfn,south_german_credit,0.1,minority_to_majority,0.1
tabpfn_distpfn,south_german_credit,0.2,majority_to_minority,0.1
tabpfn_distpfn,south_german_credit,0.2,minority_to_majority,0.05
tabpfn_distpfn,south_german_credit,0.5,majority_to_minority,0.05
tabpfn_distpfn,south_german_credit,0.5,minority_to_majority,0.05
tabpfn_distpfn,spambase,0.05,majority_to_minority,>0.30
tabpfn_distpfn,spambase,0.05,minority_to_majority,>0.30
tabpfn_distpfn,spambase,0.1,majority_to_minority,>0.30
tabpfn_distpfn,spambase,0.1,minority_to_majority,>0.30
tabpfn_distpfn,spambase,0.2,majority_to_minority,>0.30
tabpfn_distpfn,spambase,0.2,minority_to_majority,>0.30
tabpfn_distpfn,spambase,0.5,majority_to_minority,0.05
tabpfn_distpfn,spambase,0.5,minority_to_majority,0.05
tabpfn_distpfn_t,banknote_authentication,0.05,majority_to_minority,0.05
tabpfn_distpfn_t,banknote_authentication,0.05,minority_to_majority,>0.30
tabpfn_distpfn_t,banknote_authentication,0.1,majority_to_minority,0.05
tabpfn_distpfn_t,banknote_authentication,0.1,minority_to_majority,0.1
tabpfn_distpfn_t,banknote_authentication,0.2,majority_to_minority,0.05
tabpfn_distpfn_t,banknote_authentication,0.2,minority_to_majority,0.1
tabpfn_distpfn_t,banknote_authentication,0.5,majority_to_minority,0.05
tabpfn_distpfn_t,banknote_authentication,0.5,minority_to_majority,0.05
tabpfn_distpfn_t,blood_transfusion,0.05,majority_to_minority,0.05
tabpfn_distpfn_t,blood_transfusion,0.05,minority_to_majority,0.05
tabpfn_distpfn_t,blood_transfusion,0.1,majority_to_minority,0.1
tabpfn_distpfn_t,blood_transfusion,0.1,minority_to_majority,0.05
tabpfn_distpfn_t,blood_transfusion,0.2,majority_to_minority,>0.30
tabpfn_distpfn_t,blood_transfusion,0.2,minority_to_majority,0.05
tabpfn_distpfn_t,blood_transfusion,0.5,majority_to_minority,0.2
tabpfn_distpfn_t,blood_transfusion,0.5,minority_to_majority,0.05
tabpfn_distpfn_t,breast_cancer_wisconsin,0.05,majority_to_minority,>0.30
tabpfn_distpfn_t,breast_cancer_wisconsin,0.05,minority_to_majority,>0.30
tabpfn_distpfn_t,breast_cancer_wisconsin,0.1,majority_to_minority,>0.30
tabpfn_distpfn_t,breast_cancer_wisconsin,0.1,minority_to_majority,>0.30
tabpfn_distpfn_t,breast_cancer_wisconsin,0.2,majority_to_minority,>0.30
tabpfn_distpfn_t,breast_cancer_wisconsin,0.2,minority_to_majority,>0.30
tabpfn_distpfn_t,breast_cancer_wisconsin,0.5,majority_to_minority,0.05
tabpfn_distpfn_t,breast_cancer_wisconsin,0.5,minority_to_majority,0.05
tabpfn_distpfn_t,south_german_credit,0.05,majority_to_minority,0.05
tabpfn_distpfn_t,south_german_credit,0.05,minority_to_majority,0.05
